Iteration,Category,data_type,Min,Max,Mean,Median,STD
152,Mixture,harmonic,-0.27,0.3,-0.0,0.0,0.06
152,Mixture,percussive,-0.41,0.38,-0.0,0.0,0.07
153,Mixture,harmonic,-0.32,0.35,-0.0,0.0,0.08
153,Mixture,percussive,-0.31,0.27,0.0,0.0,0.05
154,Mixture,harmonic,-0.53,0.52,-0.0,0.0,0.09
154,Mixture,percussive,-0.46,0.46,0.0,0.0,0.08
155,Mixture,harmonic,-0.25,0.26,0.0,0.0,0.06
155,Mixture,percussive,-0.46,0.45,0.0,0.0,0.08
156,Mixture,harmonic,-0.32,0.3,-0.0,-0.0,0.07
156,Mixture,percussive,-0.39,0.43,0.0,0.0,0.07
157,Mixture,harmonic,-0.28,0.29,0.0,0.0,0.06
157,Mixture,percussive,-0.47,0.5,-0.0,0.0,0.09
158,Mixture,harmonic,-0.27,0.22,-0.0,0.0,0.05
158,Mixture,percussive,-0.5,0.46,0.0,-0.0,0.09
159,Mixture,harmonic,-0.33,0.31,0.0,-0.0,0.08
159,Mixture,percussive,-0.41,0.43,0.0,0.0,0.07
160,Mixture,harmonic,-0.36,0.35,-0.0,0.0,0.08
160,Mixture,percussive,-0.49,0.43,0.0,0.0,0.08
161,Mixture,harmonic,-0.3,0.31,-0.0,0.0,0.06
161,Mixture,percussive,-0.47,0.49,0.0,0.0,0.09
123,Mixture,percussive,-0.54,0.6,0.0,0.0,0.09
123,Mixture,harmonic,-0.33,0.28,0.0,0.0,0.08
122,Mixture,percussive,-0.43,0.4,0.0,-0.0,0.05
122,Mixture,harmonic,-0.28,0.25,0.0,0.0,0.05
84,Mixture,percussive,-0.48,0.46,-0.0,-0.0,0.09
85,Mixture,harmonic,-0.31,0.35,-0.0,0.0,0.07
85,Mixture,percussive,-0.4,0.4,-0.0,-0.0,0.07
86,Mixture,harmonic,-0.29,0.31,-0.0,0.0,0.06
86,Mixture,percussive,-0.4,0.42,0.0,0.0,0.07
87,Mixture,harmonic,-0.44,0.43,-0.0,-0.0,0.08
87,Mixture,percussive,-0.44,0.37,-0.0,-0.0,0.05
88,Mixture,harmonic,-0.37,0.37,-0.0,-0.0,0.07
88,Mixture,percussive,-0.41,0.42,0.0,-0.0,0.09
89,Mixture,harmonic,-0.41,0.38,-0.0,-0.0,0.07
84,Mixture,harmonic,-0.31,0.33,-0.0,0.0,0.06
89,Mixture,percussive,-0.41,0.41,0.0,-0.0,0.08
90,Mixture,percussive,-0.4,0.39,-0.0,0.0,0.08
91,Mixture,harmonic,-0.39,0.29,-0.0,0.0,0.07
91,Mixture,percussive,-0.44,0.41,0.0,0.0,0.07
92,Mixture,harmonic,-0.28,0.3,-0.0,-0.0,0.08
92,Mixture,percussive,-0.37,0.37,0.0,0.0,0.08
93,Mixture,harmonic,-0.33,0.25,-0.0,0.0,0.06
93,Mixture,percussive,-0.48,0.46,0.0,0.0,0.07
94,Mixture,harmonic,-0.29,0.31,0.0,0.0,0.07
94,Mixture,percussive,-0.4,0.42,0.0,0.0,0.07
95,Mixture,harmonic,-0.29,0.3,0.0,0.0,0.07
90,Mixture,harmonic,-0.32,0.33,0.0,0.0,0.08
83,Mixture,percussive,-0.22,0.27,-0.0,0.0,0.03
83,Mixture,harmonic,-0.22,0.22,0.0,0.0,0.06
82,Mixture,percussive,-0.44,0.37,0.0,0.0,0.07
71,Mixture,harmonic,-0.21,0.23,0.0,0.0,0.04
71,Mixture,percussive,-0.49,0.56,0.0,0.0,0.08
72,Mixture,harmonic,-0.48,0.37,-0.0,0.0,0.11
72,Mixture,percussive,-0.65,0.53,0.0,0.0,0.11
73,Mixture,harmonic,-0.38,0.3,0.0,-0.0,0.07
73,Mixture,percussive,-0.44,0.38,0.0,0.0,0.06
74,Mixture,harmonic,-0.37,0.38,0.0,-0.0,0.08
74,Mixture,percussive,-0.49,0.56,0.0,-0.0,0.08
75,Mixture,harmonic,-0.33,0.38,0.0,-0.0,0.07
75,Mixture,percussive,-0.44,0.47,0.0,0.0,0.08
76,Mixture,harmonic,-0.19,0.22,0.0,0.0,0.04
76,Mixture,percussive,-0.43,0.41,0.0,0.0,0.07
